timestamp,EAR,MAR,blinks_per_min,yawns,microsleeps,fatigue
1766074253.9445202,0.352,0.075,0,0,0,0
1766074254.0039399,0.345,0.056,0,0,0,0
1766074254.0695355,0.34,0.052,0,0,0,0
1766074254.1325517,0.345,0.049,0,0,0,0
1766074254.196519,0.346,0.045,0,0,0,0
1766074254.2598329,0.344,0.041,0,0,0,0
1766074254.317985,0.342,0.039,0,0,0,0
1766074254.381346,0.34,0.034,0,0,0,0
1766074254.4638329,0.336,0.032,0,0,0,0
1766074254.525124,0.329,0.031,0,0,0,0
1766074254.5877244,0.322,0.027,0,0,0,0
1766074254.6504333,0.319,0.026,0,0,0,0
1766074254.7119696,0.317,0.026,0,0,0,0
1766074254.775463,0.313,0.026,0,0,0,0
1766074254.841064,0.311,0.027,0,0,0,0
1766074254.9004247,0.311,0.029,0,0,0,0
1766074254.9643066,0.312,0.031,0,0,0,0
1766074255.0261662,0.315,0.034,0,0,0,0
1766074255.0863342,0.321,0.035,0,0,0,0
1766074255.1386821,0.327,0.036,0,0,0,0
1766074255.2041967,0.333,0.035,0,0,0,0
1766074255.2754667,0.337,0.033,0,0,0,0
1766074255.3229833,0.339,0.031,0,0,0,0
1766074255.3956447,0.344,0.029,0,0,0,0
1766074255.449335,0.346,0.027,0,0,0,0
1766074255.5176847,0.346,0.025,0,0,0,0
1766074255.5832682,0.348,0.023,0,0,0,0
1766074255.6444876,0.346,0.021,0,0,0,0
1766074255.7069259,0.346,0.023,0,0,0,0
1766074255.7711062,0.337,0.023,0,0,0,0
1766074255.8334906,0.33,0.025,0,0,0,0
1766074255.8942888,0.325,0.026,0,0,0,0
1766074255.9572704,0.32,0.029,0,0,0,0
1766074256.021041,0.316,0.031,0,0,0,0
1766074256.0841668,0.316,0.033,0,0,0,0
1766074256.145557,0.315,0.035,0,0,0,0
1766074256.2069669,0.317,0.037,0,0,0,0
1766074256.2695107,0.32,0.04,0,0,0,0
1766074256.3277988,0.32,0.042,0,0,0,0
1766074256.3942316,0.331,0.042,0,0,0,0
1766074256.4560523,0.343,0.044,0,0,0,0
1766074256.5169687,0.349,0.045,0,0,0,0
1766074256.5805306,0.355,0.046,0,0,0,0
1766074256.6452415,0.359,0.047,0,0,0,0
1766074256.7091494,0.362,0.047,0,0,0,0
1766074256.7698486,0.365,0.047,0,0,0,0
1766074256.839498,0.366,0.045,0,0,0,0
1766074256.8972046,0.365,0.043,0,0,0,0
1766074256.9543362,0.364,0.039,0,0,0,0
1766074257.0145118,0.361,0.037,0,0,0,0
1766074257.0784132,0.358,0.033,0,0,0,0
1766074257.1472769,0.356,0.031,0,0,0,0
1766074257.2083602,0.354,0.028,0,0,0,0
1766074257.269756,0.35,0.026,0,0,0,0
1766074257.325799,0.345,0.024,0,0,0,0
1766074257.3954778,0.34,0.019,0,0,0,0
1766074257.4580011,0.334,0.019,0,0,0,0
1766074257.5163705,0.331,0.017,0,0,0,0
1766074257.5806808,0.33,0.014,0,0,0,0
1766074257.6447341,0.33,0.014,0,0,0,0
1766074257.7077577,0.328,0.014,0,0,0,0
1766074257.7653856,0.32,0.014,0,0,0,0
1766074257.828705,0.311,0.014,0,0,0,0
1766074257.894988,0.308,0.014,0,0,0,0
1766074257.955552,0.304,0.013,0,0,0,0
1766074258.0174196,0.304,0.016,0,0,0,0
1766074258.0802648,0.303,0.014,0,0,0,0
1766074258.1396613,0.303,0.014,0,0,0,0
1766074258.2018695,0.302,0.017,0,0,0,0
1766074258.264537,0.302,0.017,0,0,0,0
1766074258.327813,0.303,0.017,0,0,0,0
1766074258.38786,0.308,0.017,0,0,0,0
1766074258.4588223,0.316,0.017,0,0,0,0
1766074258.5151424,0.32,0.017,0,0,0,0
1766074258.5798218,0.324,0.017,0,0,0,0
1766074258.6397572,0.326,0.017,0,0,0,0
1766074258.7041667,0.326,0.018,0,0,0,0
1766074258.766805,0.326,0.021,0,0,0,0
1766074258.831569,0.325,0.02,0,0,0,0
1766074258.8928268,0.323,0.02,0,0,0,0
1766074258.9560115,0.323,0.02,0,0,0,0
1766074259.014712,0.322,0.018,0,0,0,0
1766074259.0767367,0.322,0.018,0,0,0,0
1766074259.138903,0.322,0.019,0,0,0,0
1766074259.203095,0.321,0.019,0,0,0,0
1766074259.262887,0.32,0.017,0,0,0,0
1766074259.3266368,0.323,0.017,0,0,0,0
1766074259.3884447,0.322,0.016,0,0,0,0
1766074259.4523757,0.323,0.016,0,0,0,0
1766074259.5132375,0.324,0.016,0,0,0,0
1766074259.5777903,0.323,0.016,0,0,0,0
1766074259.6395195,0.325,0.018,0,0,0,0
1766074259.702383,0.325,0.018,0,0,0,0
1766074259.7675223,0.325,0.017,0,0,0,0
1766074259.8332632,0.327,0.018,0,0,0,0
1766074259.8912947,0.326,0.02,0,0,0,0
1766074259.9588609,0.327,0.02,0,0,0,0
1766074260.0194068,0.327,0.02,0,0,0,0
1766074260.0760384,0.328,0.02,0,0,0,0
1766074260.1351497,0.328,0.019,0,0,0,0
1766074260.2023056,0.329,0.019,0,0,0,0
1766074260.269907,0.331,0.019,0,0,0,0
1766074260.3320405,0.332,0.019,0,0,0,0
1766074260.3933592,0.332,0.019,0,0,0,0
1766074260.460159,0.333,0.019,0,0,0,0
1766074260.522652,0.335,0.017,0,0,0,0
1766074260.5844383,0.333,0.015,0,0,0,0
1766074260.6482613,0.334,0.015,0,0,0,0
1766074260.7132297,0.333,0.014,0,0,0,0
1766074260.7675982,0.332,0.016,0,0,0,0
1766074260.8312373,0.333,0.014,0,0,0,0
1766074260.893472,0.331,0.012,0,0,0,0
1766074260.9629078,0.331,0.01,0,0,0,0
1766074261.0141952,0.331,0.008,0,0,0,0
1766074261.0796406,0.331,0.006,0,0,0,0
1766074261.1389878,0.332,0.006,0,0,0,0
1766074261.2008502,0.332,0.008,0,0,0,0
1766074261.2641203,0.331,0.008,0,0,0,0
1766074261.3360772,0.334,0.008,0,0,0,0
1766074261.397545,0.334,0.008,0,0,0,0
1766074261.4597113,0.335,0.008,0,0,0,0
1766074261.5242014,0.335,0.008,0,0,0,0
1766074261.584599,0.335,0.008,0,0,0,0
1766074261.6479523,0.335,0.01,0,0,0,0
1766074261.7093818,0.335,0.01,0,0,0,0
1766074261.7632897,0.333,0.012,0,0,0,0
1766074261.835819,0.334,0.014,0,0,0,0
1766074261.886814,0.334,0.014,0,0,0,0
1766074261.9538705,0.332,0.014,0,0,0,0
1766074262.0214498,0.332,0.014,0,0,0,0
1766074262.077177,0.331,0.016,0,0,0,0
1766074262.1461058,0.331,0.016,0,0,0,0
1766074262.2029648,0.331,0.016,0,0,0,0
1766074262.2625039,0.332,0.014,0,0,0,0
1766074262.3302255,0.331,0.014,0,0,0,0
1766074262.387274,0.332,0.014,0,0,0,0
1766074262.4567606,0.331,0.013,0,0,0,0
1766074262.516576,0.329,0.011,0,0,0,0
1766074262.584344,0.329,0.011,0,0,0,0
1766074262.645963,0.33,0.011,0,0,0,0
1766074262.7092798,0.33,0.011,0,0,0,0
1766074262.774262,0.33,0.013,0,0,0,0
1766074262.8416378,0.33,0.015,0,0,0,0
1766074262.9184535,0.33,0.017,0,0,0,0
1766074262.9811296,0.329,0.017,0,0,0,0
1766074263.0447505,0.33,0.018,0,0,0,0
1766074263.112742,0.33,0.015,0,0,0,0
1766074263.175764,0.331,0.017,0,0,0,0
1766074263.2369218,0.331,0.015,0,0,0,0
1766074263.320986,0.328,0.015,0,0,0,0
1766074263.3915489,0.328,0.016,0,0,0,0
