timestamp,EAR,MAR,blinks_per_min,yawns,microsleeps,fatigue
1766086537.170805,0.224,0.0,0,0,0,0
1766086537.2088985,0.215,0.009,0,0,0,0
1766086537.2542138,0.177,0.006,0,0,0,0
1766086537.3124065,0.18,0.009,0,0,0,0
1766086537.3798006,0.187,0.011,1,0,0,0
1766086537.4363618,0.193,0.012,1,0,0,0
1766086537.5154414,0.198,0.01,1,0,0,0
1766086537.5821283,0.203,0.009,1,0,0,0
1766086537.6466286,0.207,0.008,1,0,0,0
1766086537.7090445,0.208,0.007,1,0,0,0
1766086537.775618,0.208,0.007,1,0,0,0
1766086537.8401482,0.212,0.005,1,0,0,0
1766086537.9238513,0.226,0.005,1,0,0,0
1766086537.9810278,0.232,0.004,1,0,0,0
1766086538.0447254,0.236,0.002,1,0,0,0
1766086538.110122,0.235,0.002,1,0,0,0
1766086538.17325,0.22,0.002,1,0,0,0
1766086538.2499661,0.204,0.002,1,0,0,0
1766086538.3209438,0.198,0.002,1,0,0,0
1766086538.380696,0.198,0.002,2,0,0,0
1766086538.4495025,0.198,0.002,2,0,0,0
1766086538.5057256,0.194,0.002,2,0,0,0
1766086538.5740166,0.193,0.002,2,0,0,0
1766086538.6549444,0.19,0.002,2,0,0,0
1766086538.7199566,0.19,0.002,2,0,0,0
1766086538.7846487,0.193,0.002,2,0,0,0
1766086538.8517952,0.21,0.004,2,0,0,0
1766086538.9102404,0.227,0.004,2,0,0,0
1766086538.9725425,0.233,0.004,2,0,0,0
1766086539.055982,0.235,0.006,2,0,0,0
1766086539.1167848,0.238,0.006,2,0,0,0
1766086539.178354,0.242,0.008,2,0,0,0
1766086539.2401385,0.244,0.01,2,0,0,0
1766086539.3088913,0.246,0.012,2,0,0,0
1766086539.3868241,0.246,0.014,2,0,0,0
1766086539.448056,0.245,0.012,2,0,0,0
1766086539.5150237,0.247,0.01,2,0,0,0
1766086539.5829518,0.247,0.012,2,0,0,0
1766086539.6443708,0.249,0.013,2,0,0,0
1766086539.7082179,0.252,0.013,2,0,0,0
1766086539.7929065,0.251,0.013,2,0,0,0
1766086539.8515592,0.25,0.012,2,0,0,0
1766086539.9208508,0.25,0.01,2,0,0,0
1766086539.9811113,0.253,0.008,2,0,0,0
1766086540.0441554,0.253,0.008,2,0,0,0
1766086540.1070294,0.253,0.008,2,0,0,0
1766086540.1869526,0.253,0.008,2,0,0,0
1766086540.254278,0.253,0.008,2,0,0,0
1766086540.3153567,0.25,0.006,2,0,0,0
