timestamp,EAR,MAR,blinks_per_min,yawns,microsleeps,fatigue
1766066991.6955853,0.255,0.023,0,0,0,0
1766066991.7530544,0.256,0.011,0,0,0,0
1766066991.7765734,0.256,0.008,0,0,0,0
1766066991.8315852,0.259,0.006,0,0,0,0
1766066991.8758001,0.259,0.005,0,0,0,0
1766066991.9243212,0.26,0.004,0,0,0,0
1766066991.9553268,0.26,0.003,0,0,0,0
1766066991.9788566,0.259,0.003,0,0,0,0
1766066992.0308573,0.257,0.003,0,0,0,0
1766066992.0773754,0.255,0.002,1,0,0,0
1766066992.1273916,0.255,0.0,1,0,0,0
1766066992.1724043,0.255,0.0,1,0,0,0
1766066992.221929,0.253,0.0,1,0,0,0
1766066992.2459345,0.252,0.0,1,0,0,0
1766066992.2824628,0.251,0.0,1,0,0,0
1766066992.3304613,0.25,0.0,1,0,0,0
1766066992.37247,0.249,0.0,1,0,0,0
1766066992.4090052,0.25,0.0,1,0,0,0
1766066992.4390008,0.252,0.0,1,0,0,0
1766066992.4885654,0.255,0.0,1,0,0,0
1766066992.508569,0.256,0.0,1,0,0,0
1766066992.5545704,0.257,0.0,1,0,0,0
1766066992.5770948,0.258,0.0,1,0,0,0
1766066992.6141148,0.259,0.0,1,0,0,0
1766066992.6351092,0.26,0.0,1,0,0,0
1766066992.67823,0.261,0.0,1,0,0,0
1766066992.7082415,0.259,0.0,1,0,0,0
1766066992.7422268,0.259,0.0,2,0,0,0
1766066992.771245,0.258,0.0,2,0,0,0
1766066992.8043633,0.257,0.0,2,0,0,0
1766066992.8383658,0.256,0.0,2,0,0,0
1766066992.868373,0.255,0.0,2,0,0,0
1766066992.8988876,0.255,0.0,2,0,0,0
1766066992.9338968,0.256,0.0,2,0,0,0
1766066992.9700315,0.256,0.0,2,0,0,0
1766066992.9975803,0.255,0.0,2,0,0,0
1766066993.0335867,0.256,0.0,2,0,0,0
1766066993.0775855,0.256,0.0,2,0,0,0
1766066993.118118,0.256,0.0,2,0,0,0
1766066993.1391296,0.255,0.0,2,0,0,0
1766066993.1786761,0.255,0.0,2,0,0,0
1766066993.2056549,0.254,0.0,2,0,0,0
1766066993.2536542,0.254,0.0,2,0,0,0
1766066993.3042047,0.253,0.0,2,0,0,0
1766066993.3312018,0.252,0.0,2,0,0,0
1766066993.368223,0.251,0.0,2,0,0,0
1766066993.3947494,0.253,0.002,2,0,0,0
1766066993.4417512,0.252,0.002,2,0,0,0
1766066993.47577,0.253,0.002,3,0,0,0
1766066993.508829,0.254,0.005,3,0,0,0
1766066993.5398402,0.254,0.005,3,0,0,0
1766066993.57184,0.255,0.007,3,0,0,0
1766066993.6023989,0.253,0.007,3,0,0,0
1766066993.6534004,0.253,0.007,4,0,0,0
1766066993.6980731,0.255,0.007,4,0,0,0
1766066993.7450721,0.255,0.007,4,0,0,0
1766066993.7928424,0.254,0.005,4,0,0,0
1766066993.840846,0.255,0.005,4,0,0,0
1766066993.8864052,0.255,0.005,4,0,0,0
1766066993.916928,0.254,0.002,4,0,0,0
1766066993.9659379,0.254,0.002,4,0,0,0
1766066994.0114422,0.255,0.0,4,0,0,0
1766066994.058445,0.256,0.0,4,0,0,0
1766066994.087028,0.256,0.002,4,0,0,0
1766066994.1180344,0.256,0.002,4,0,0,0
1766066994.1480277,0.256,0.002,4,0,0,0
1766066994.1805654,0.26,0.002,4,0,0,0
1766066994.2175593,0.262,0.004,4,0,0,0
1766066994.2455628,0.264,0.007,4,0,0,0
1766066994.277569,0.266,0.007,4,0,0,0
1766066994.3097522,0.267,0.007,4,0,0,0
1766066994.344754,0.269,0.007,4,0,0,0
1766066994.3802714,0.272,0.007,4,0,0,0
1766066994.4052758,0.274,0.007,4,0,0,0
1766066994.4542856,0.276,0.009,4,0,0,0
1766066994.5018969,0.276,0.011,4,0,0,0
1766066994.5348392,0.275,0.011,4,0,0,0
1766066994.5628293,0.274,0.012,4,0,0,0
1766066994.5904021,0.274,0.01,4,0,0,0
1766066994.61939,0.275,0.012,4,0,0,0
1766066994.6503887,0.276,0.012,4,0,0,0
1766066994.6809235,0.276,0.012,4,0,0,0
1766066994.7139204,0.276,0.015,4,0,0,0
1766066994.7529233,0.275,0.015,4,0,0,0
1766066994.7749305,0.275,0.012,4,0,0,0
1766066994.8214498,0.276,0.01,4,0,0,0
1766066994.8534515,0.274,0.012,4,0,0,0
1766066994.9019916,0.273,0.009,4,0,0,0
1766066994.9329946,0.273,0.011,4,0,0,0
1766066994.981522,0.272,0.011,4,0,0,0
1766066995.0275288,0.272,0.014,4,0,0,0
1766066995.0765426,0.271,0.014,4,0,0,0
1766066995.1180723,0.269,0.011,4,0,0,0
1766066995.1711354,0.263,0.011,4,0,0,0
1766066995.2136068,0.256,0.011,4,0,0,0
1766066995.2596135,0.243,0.014,4,0,0,0
1766066995.3121798,0.237,0.011,4,0,0,0
