timestamp,EAR,MAR,blinks_per_min,yawns,microsleeps,fatigue
1766073502.7473063,0.289,0.0,0,0,0,0
1766073502.7813158,0.291,0.0,0,0,0,0
1766073502.8332405,0.288,0.0,0,0,0,0
1766073502.9035301,0.286,0.0,0,0,0,0
1766073502.9751444,0.288,0.0,0,0,0,0
1766073503.0323782,0.293,0.003,0,0,0,0
1766073503.0813258,0.294,0.003,0,0,0,0
1766073503.1275845,0.294,0.003,0,0,0,0
1766073503.1774254,0.293,0.002,0,0,0,0
1766073503.2073696,0.293,0.004,0,0,0,0
1766073503.2551703,0.293,0.004,0,0,0,0
1766073503.3035047,0.293,0.004,0,0,0,0
1766073503.3246784,0.295,0.004,0,0,0,0
1766073503.3657522,0.297,0.006,0,0,0,0
1766073503.3880754,0.297,0.008,0,0,0,0
1766073503.442196,0.295,0.006,0,0,0,0
1766073503.4878404,0.293,0.008,0,0,0,0
1766073503.534946,0.291,0.008,0,0,0,0
1766073503.5662298,0.292,0.01,0,0,0,0
1766073503.6116586,0.291,0.01,0,0,0,0
1766073503.6570227,0.293,0.012,0,0,0,0
1766073503.7061336,0.295,0.012,0,0,0,0
1766073503.7476552,0.296,0.014,0,0,0,0
1766073503.7946568,0.294,0.012,0,0,0,0
1766073503.8423102,0.294,0.01,0,0,0,0
1766073503.8916516,0.295,0.01,0,0,0,0
1766073503.939696,0.296,0.008,0,0,0,0
1766073503.9864228,0.3,0.008,0,0,0,0
1766073504.0349793,0.302,0.008,0,0,0,0
1766073504.081954,0.303,0.006,0,0,0,0
1766073504.130242,0.303,0.004,0,0,0,0
1766073504.1530955,0.302,0.004,0,0,0,0
1766073504.1903396,0.303,0.002,0,0,0,0
1766073504.2362618,0.303,0.004,0,0,0,0
1766073504.283186,0.305,0.008,0,0,0,0
1766073504.3309789,0.305,0.079,0,0,0,0
1766073504.374495,0.307,0.156,0,0,0,0
1766073504.4215388,0.304,0.245,0,0,0,0
1766073504.4688246,0.3,0.333,0,0,0,0
1766073504.5008748,0.301,0.431,0,0,0,0
1766073504.5485742,0.298,0.53,0,0,0,0
1766073504.594573,0.296,0.634,0,0,0,0
1766073504.6402922,0.292,0.743,0,0,0,0
1766073504.6732907,0.291,0.854,0,0,0,0
1766073504.7182913,0.286,0.972,0,0,0,0
1766073504.7507987,0.283,1.037,0,0,0,0
1766073504.7998154,0.281,1.083,0,0,0,0
1766073504.8481114,0.279,1.114,0,0,0,0
1766073504.8939183,0.279,1.135,0,0,0,0
1766073504.9409583,0.275,1.105,0,0,0,0
1766073504.9888031,0.274,1.058,0,0,0,0
1766073505.035603,0.273,0.972,0,0,0,0
1766073505.082468,0.271,0.881,0,0,0,0
1766073505.1316895,0.27,0.781,0,0,0,0
1766073505.1568742,0.268,0.669,0,0,0,0
1766073505.1893744,0.268,0.536,0,0,0,0
1766073505.2390397,0.266,0.412,0,0,0,0
1766073505.286356,0.267,0.294,0,0,0,0
1766073505.3319502,0.265,0.185,0,0,0,0
1766073505.3794725,0.266,0.116,0,0,0,0
1766073505.426382,0.267,0.065,0,0,0,0
1766073505.4733734,0.268,0.046,0,0,0,0
1766073505.5025446,0.268,0.029,0,0,0,0
1766073505.551701,0.259,0.016,0,0,0,0
1766073505.5967476,0.246,0.008,0,0,0,0
1766073505.644697,0.234,0.006,0,0,0,0
1766073505.6910412,0.225,0.006,0,0,0,0
1766073505.7348695,0.219,0.004,0,0,0,0
1766073505.7654924,0.213,0.002,0,0,0,0
1766073505.799359,0.207,0.002,0,0,0,0
1766073505.84728,0.202,0.004,0,0,0,0
1766073505.8941393,0.2,0.004,1,0,0,0
1766073505.9422615,0.198,0.004,1,0,0,0
1766073505.9936268,0.204,0.004,2,0,0,0
1766073506.0165243,0.216,0.004,2,0,0,0
1766073506.066741,0.227,0.004,2,0,0,0
1766073506.1144302,0.235,0.004,2,0,0,0
1766073506.161282,0.238,0.006,2,0,0,0
1766073506.2121284,0.243,0.008,2,0,0,0
1766073506.23442,0.247,0.008,2,0,0,0
1766073506.273351,0.251,0.006,2,0,0,0
1766073506.2960124,0.252,0.009,2,0,0,0
1766073506.3343847,0.254,0.011,2,0,0,0
1766073506.3591406,0.254,0.011,2,0,0,0
1766073506.3981724,0.254,0.009,2,0,0,0
1766073506.427037,0.255,0.011,2,0,0,0
1766073506.473057,0.254,0.011,2,0,0,0
1766073506.5037208,0.254,0.011,3,0,0,0
1766073506.5494123,0.253,0.057,3,0,0,0
1766073506.5962627,0.253,0.123,3,0,0,0
1766073506.6453626,0.251,0.202,3,0,0,0
1766073506.691974,0.252,0.287,3,0,0,0
1766073506.7348104,0.252,0.371,3,0,0,0
1766073506.7691565,0.253,0.469,3,0,0,0
1766073506.8177245,0.253,0.571,3,0,0,0
1766073506.8630073,0.251,0.677,3,0,0,0
1766073506.9117515,0.252,0.786,3,0,0,0
1766073506.9574172,0.251,0.896,3,0,0,0
1766073507.0051668,0.248,0.968,3,0,0,0
1766073507.056327,0.246,1.021,3,0,0,0
1766073507.0796788,0.244,1.053,3,0,0,0
1766073507.1279428,0.241,1.077,3,0,0,0
1766073507.1753194,0.238,1.102,3,0,0,0
1766073507.2048357,0.236,1.118,3,0,0,0
1766073507.2521753,0.234,1.136,3,0,0,0
1766073507.300349,0.233,1.139,3,0,0,0
1766073507.344946,0.228,1.14,3,0,0,0
1766073507.393129,0.227,1.148,3,0,0,0
1766073507.4404428,0.228,1.143,3,0,0,0
1766073507.4880412,0.229,1.141,3,0,0,0
1766073507.5158758,0.228,1.146,3,0,0,0
1766073507.5624506,0.228,1.148,3,0,0,0
