ear,mar,label
0.28190000000000004,0.007599999999999998,0
0.281,0.008400000000000001,0
0.281,0.008300000000000002,0
0.2811,0.0079,0
0.2809,0.007300000000000001,0
0.2805,0.006900000000000001,0
0.2798,0.006900000000000001,0
0.27880000000000005,0.0068000000000000005,0
0.2776,0.006900000000000001,0
0.27640000000000003,0.0068000000000000005,0
0.2753,0.006900000000000001,0
0.27420000000000005,0.006999999999999999,0
0.2732,0.0075,0
0.27230000000000004,0.0078,0
0.2716,0.0084,0
0.271,0.008999999999999998,0
0.2706,0.009199999999999998,0
0.2704,0.009399999999999999,0
0.27040000000000003,0.009499999999999998,0
0.2705,0.009399999999999999,0
0.27080000000000004,0.0091,0
0.27120000000000005,0.0088,0
0.27140000000000003,0.0083,0
0.2718,0.0081,0
0.2722,0.007700000000000001,0
0.27270000000000005,0.0075,0
0.27330000000000004,0.0076,0
0.274,0.0078,0
0.2748,0.008,0
0.27590000000000003,0.0086,0
0.2766,0.0094,0
0.27740000000000004,0.010199999999999999,0
0.27840000000000004,0.0109,0
0.2792,0.0115,0
0.27980000000000005,0.0121,0
0.28020000000000006,0.0125,0
0.28040000000000004,0.0129,0
0.2804,0.0132,0
0.2802,0.0134,0
0.2796,0.013300000000000001,0
0.2794,0.0131,0
0.27880000000000005,0.0129,0
0.27809999999999996,0.0128,0
0.2775,0.0126,0
0.2769,0.0124,0
0.2765000000000001,0.012,0
0.2763,0.011399999999999999,0
0.27630000000000005,0.010700000000000001,0
0.2765,0.0103,0
0.2768,0.010099999999999998,0
0.27680000000000005,0.0097,0
0.2773,0.0093,0
0.2777,0.008900000000000002,0
0.27790000000000004,0.008600000000000002,0
0.2783,0.008200000000000002,0
0.278,0.008100000000000001,0
0.27590000000000003,0.008000000000000002,0
0.2731,0.008000000000000002,0
0.2699,0.007600000000000001,0
0.2665,0.007000000000000001,0
0.263,0.0066,0
0.2592,0.0062,0
0.2555,0.005800000000000001,0
0.2518,0.0054,0
0.2481,0.0051,0
0.2455,0.0046,0
0.2464,0.0044,0
0.24830000000000002,0.0042,0
0.2509,0.0043,0
0.2539,0.004399999999999999,0
0.2573,0.0046,0
0.2609,0.0048,0
0.2645,0.0052,0
0.26810000000000006,0.0057,0
0.2713,0.0062,0
0.27390000000000003,0.0068000000000000005,0
0.27460000000000007,0.007000000000000001,0
0.27490000000000003,0.007200000000000001,0
0.2746,0.007300000000000001,0
0.2740000000000001,0.0077,0
0.27320000000000005,0.0078,0
0.27220000000000005,0.0079,0
0.2701,0.007700000000000001,0
0.26620000000000005,0.007200000000000001,0
0.2609,0.006900000000000001,0
0.25410000000000005,0.0066,0
0.24700000000000003,0.0067,0
0.2395,0.006899999999999999,0
0.2319,0.0071,0
0.22400000000000003,0.007200000000000001,0
0.2157,0.0076,0
0.2072,0.008,0
0.20060000000000003,0.008499999999999999,0
0.1975,0.009399999999999999,0
0.19750000000000004,0.009899999999999999,0
0.2004,0.0104,0
0.20389999999999997,0.010499999999999999,0
0.2077,0.010399999999999998,0
0.2118,0.010100000000000001,0
0.2166,0.0095,0
0.2218,0.008799999999999999,0
0.2273,0.008300000000000002,0
0.23209999999999997,0.0079,0
0.2355,0.007200000000000001,0
0.2378,0.006699999999999999,0
0.23890000000000003,0.0063,0
0.23970000000000002,0.0063,0
0.2407,0.0064,0
0.242,0.0067,0
0.2432,0.0072,0
0.24459999999999998,0.0075000000000000015,0
0.24630000000000002,0.007600000000000001,0
0.24799999999999994,0.0075000000000000015,0
0.24939999999999998,0.0075000000000000015,0
0.2502,0.0075000000000000015,0
0.25029999999999997,0.0075000000000000015,0
0.2492,0.007200000000000001,0
0.24630000000000002,0.0067,0
0.24089999999999998,0.0062000000000000015,0
0.2333,0.005700000000000001,0
0.22349999999999998,0.0054,0
0.21149999999999997,0.005,0
0.1977,0.004700000000000001,0
0.1825,0.0045,0
0.1663,0.0045000000000000005,0
0.1498,0.0041,0
0.1343,0.0038000000000000004,0
0.1206,0.0039,0
0.1096,0.003999999999999999,0
0.1008,0.0040999999999999995,0
