timestamp,ear,mar,blink_rate,micro_sleeps,yawns,ml_pred,ml_conf,status
2025-11-16T20:04:08.818332,0.297,0.0,1,0,0,ALERT,0.769,NORMAL
2025-11-16T20:04:08.866353,0.317,0.0,1,0,0,ALERT,0.511,NORMAL
2025-11-16T20:04:08.886706,0.303,0.0,1,0,0,DROWSY,0.519,NORMAL
2025-11-16T20:04:08.911146,0.298,0.0,1,0,0,ALERT,0.882,NORMAL
2025-11-16T20:04:08.948213,0.295,0.0,1,0,0,ALERT,0.818,NORMAL
2025-11-16T20:04:08.974224,0.289,0.0,1,0,0,ALERT,0.988,NORMAL
2025-11-16T20:04:09.007844,0.296,0.032,1,0,0,ALERT,0.892,NORMAL
2025-11-16T20:04:09.038289,0.285,0.0,1,0,0,DROWSY,0.556,NORMAL
2025-11-16T20:04:09.066354,0.29,0.0,1,0,0,DROWSY,0.592,NORMAL
2025-11-16T20:04:09.100965,0.302,0.032,1,0,0,ALERT,0.922,NORMAL
2025-11-16T20:04:09.128214,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:09.157842,0.302,0.032,1,0,0,ALERT,0.935,NORMAL
2025-11-16T20:04:09.199527,0.297,0.032,1,0,0,ALERT,0.92,NORMAL
2025-11-16T20:04:09.254795,0.313,0.0,1,0,0,ALERT,0.979,NORMAL
2025-11-16T20:04:09.290086,0.302,0.0,1,0,0,DROWSY,0.505,NORMAL
2025-11-16T20:04:09.319375,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:09.346421,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:09.376811,0.297,0.0,1,0,0,DROWSY,0.638,NORMAL
2025-11-16T20:04:09.414579,0.293,0.0,1,0,0,DROWSY,0.529,NORMAL
2025-11-16T20:04:09.451610,0.294,0.0,1,0,0,ALERT,0.931,NORMAL
2025-11-16T20:04:09.502986,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:09.542327,0.329,0.0,1,0,0,DROWSY,0.975,ALERT
2025-11-16T20:04:09.599363,0.318,0.0,1,0,0,DROWSY,0.755,ALERT
2025-11-16T20:04:09.637725,0.301,0.0,1,0,0,DROWSY,0.506,NORMAL
2025-11-16T20:04:09.677928,0.314,0.0,1,0,0,ALERT,0.554,NORMAL
2025-11-16T20:04:09.699396,0.329,0.0,1,0,0,ALERT,0.932,NORMAL
2025-11-16T20:04:09.741522,0.302,0.0,1,0,0,ALERT,0.68,NORMAL
2025-11-16T20:04:09.765963,0.305,0.0,1,0,0,DROWSY,0.519,NORMAL
2025-11-16T20:04:09.795567,0.314,0.0,1,0,0,ALERT,0.554,NORMAL
2025-11-16T20:04:09.836630,0.34,0.032,1,0,0,ALERT,0.7,NORMAL
2025-11-16T20:04:09.888066,0.307,0.0,1,0,0,ALERT,0.504,NORMAL
2025-11-16T20:04:09.937845,0.209,0.0,1,0,0,DROWSY,0.83,ALERT
2025-11-16T20:04:09.977875,0.243,0.0,1,0,0,DROWSY,0.846,ALERT
2025-11-16T20:04:10.020218,0.24,0.0,1,0,0,ALERT,0.984,NORMAL
2025-11-16T20:04:10.040819,0.267,0.0,1,0,0,ALERT,0.998,NORMAL
2025-11-16T20:04:10.083281,0.279,0.0,1,0,0,ALERT,0.671,NORMAL
2025-11-16T20:04:10.132777,0.279,0.0,1,0,0,ALERT,0.673,NORMAL
2025-11-16T20:04:10.175479,0.261,0.0,1,0,0,ALERT,0.505,NORMAL
2025-11-16T20:04:10.201834,0.278,0.032,1,0,0,DROWSY,0.756,ALERT
2025-11-16T20:04:10.244320,0.278,0.0,1,0,0,ALERT,0.95,NORMAL
2025-11-16T20:04:10.284500,0.278,0.0,1,0,0,ALERT,0.95,NORMAL
2025-11-16T20:04:10.315408,0.302,0.032,1,0,0,ALERT,0.909,NORMAL
2025-11-16T20:04:10.342293,0.278,0.0,1,0,0,ALERT,0.95,NORMAL
2025-11-16T20:04:10.375612,0.291,0.032,1,0,0,ALERT,0.672,NORMAL
2025-11-16T20:04:10.404362,0.302,0.0,1,0,0,ALERT,0.68,NORMAL
2025-11-16T20:04:10.431243,0.302,0.0,1,0,0,ALERT,0.68,NORMAL
2025-11-16T20:04:10.460520,0.302,0.0,1,0,0,ALERT,0.68,NORMAL
2025-11-16T20:04:10.502278,0.29,0.0,1,0,0,ALERT,0.993,NORMAL
2025-11-16T20:04:10.554579,0.297,0.0,1,0,0,DROWSY,0.638,NORMAL
2025-11-16T20:04:10.594935,0.31,0.0,1,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:10.647179,0.315,0.031,1,0,0,ALERT,0.68,NORMAL
2025-11-16T20:04:10.693424,0.314,0.031,1,0,0,ALERT,0.844,NORMAL
2025-11-16T20:04:10.741775,0.286,0.044,1,0,0,ALERT,0.7,NORMAL
2025-11-16T20:04:10.784201,0.292,0.031,1,0,0,ALERT,0.936,NORMAL
2025-11-16T20:04:10.823260,0.298,0.031,1,0,0,ALERT,0.972,NORMAL
2025-11-16T20:04:10.846232,0.298,0.044,1,0,0,ALERT,0.876,NORMAL
2025-11-16T20:04:10.878985,0.298,0.031,1,0,0,ALERT,0.972,NORMAL
2025-11-16T20:04:10.911701,0.306,0.031,1,0,0,ALERT,0.996,NORMAL
2025-11-16T20:04:10.945201,0.289,0.031,1,0,0,ALERT,0.924,NORMAL
2025-11-16T20:04:10.970398,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:11.004308,0.317,0.0,1,0,0,ALERT,0.529,NORMAL
2025-11-16T20:04:11.041423,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:11.071897,0.305,0.0,1,0,0,DROWSY,0.519,NORMAL
2025-11-16T20:04:11.100597,0.297,0.0,1,0,0,DROWSY,0.638,NORMAL
2025-11-16T20:04:11.137843,0.285,0.0,1,0,0,ALERT,0.992,NORMAL
2025-11-16T20:04:11.162244,0.309,0.044,1,0,0,ALERT,0.776,NORMAL
