timestamp,EAR,MAR,blinks_per_min,yawns,microsleeps,fatigue
1766074253.9445202,0.352,0.075,0,0,0,0
1766074254.0039399,0.345,0.056,0,0,0,0
1766074254.0695355,0.34,0.052,0,0,0,0
1766074254.1325517,0.345,0.049,0,0,0,0
1766074254.196519,0.346,0.045,0,0,0,0
1766074254.2598329,0.344,0.041,0,0,0,0
1766074254.317985,0.342,0.039,0,0,0,0
1766074254.381346,0.34,0.034,0,0,0,0
1766074254.4638329,0.336,0.032,0,0,0,0
1766074254.525124,0.329,0.031,0,0,0,0
1766074254.5877244,0.322,0.027,0,0,0,0
1766074254.6504333,0.319,0.026,0,0,0,0
1766074254.7119696,0.317,0.026,0,0,0,0
1766074254.775463,0.313,0.026,0,0,0,0
1766074254.841064,0.311,0.027,0,0,0,0
1766074254.9004247,0.311,0.029,0,0,0,0
1766074254.9643066,0.312,0.031,0,0,0,0
1766074255.0261662,0.315,0.034,0,0,0,0
1766074255.0863342,0.321,0.035,0,0,0,0
1766074255.1386821,0.327,0.036,0,0,0,0
1766074255.2041967,0.333,0.035,0,0,0,0
1766074255.2754667,0.337,0.033,0,0,0,0
1766074255.3229833,0.339,0.031,0,0,0,0
1766074255.3956447,0.344,0.029,0,0,0,0
1766074255.449335,0.346,0.027,0,0,0,0
1766074255.5176847,0.346,0.025,0,0,0,0
1766074255.5832682,0.348,0.023,0,0,0,0
1766074255.6444876,0.346,0.021,0,0,0,0
1766074255.7069259,0.346,0.023,0,0,0,0
1766074255.7711062,0.337,0.023,0,0,0,0
1766074255.8334906,0.33,0.025,0,0,0,0
1766074255.8942888,0.325,0.026,0,0,0,0
1766074255.9572704,0.32,0.029,0,0,0,0
