timestamp,EAR,MAR,blink_count,blink_rate,microsleeps,yawns
2025-11-16 20:29:50.407493,0.202,0.018,0,0.0,0,0
2025-11-16 20:29:50.501312,0.165,0.0,0,0.0,0,0
2025-11-16 20:29:50.518872,0.189,0.0,0,0.0,0,0
2025-11-16 20:29:50.535760,0.203,0.0,0,0.0,0,0
2025-11-16 20:29:50.547636,0.183,0.0,0,0.0,0,0
2025-11-16 20:29:50.583887,0.203,0.02,0,0.0,0,0
2025-11-16 20:29:50.616039,0.203,0.0,0,0.0,0,0
2025-11-16 20:29:50.651983,0.201,0.0,0,0.0,0,0
2025-11-16 20:29:50.681660,0.221,0.0,0,0.0,0,0
2025-11-16 20:29:50.713609,0.23,0.031,0,0.0,0,0
2025-11-16 20:29:50.764672,0.217,0.0,0,0.0,0,0
2025-11-16 20:29:50.792762,0.241,0.0,0,0.0,0,0
2025-11-16 20:29:50.827017,0.234,0.0,0,0.0,0,0
2025-11-16 20:29:50.860541,0.25,0.0,0,0.0,0,0
2025-11-16 20:29:50.891836,0.225,0.0,0,0.0,0,0
2025-11-16 20:29:50.924162,0.245,0.0,0,0.0,0,0
2025-11-16 20:29:50.959239,0.244,0.0,0,0.0,0,0
2025-11-16 20:29:50.987547,0.23,0.0,0,0.0,0,0
2025-11-16 20:29:51.020654,0.243,0.0,0,0.0,0,0
2025-11-16 20:29:51.052933,0.282,0.0,0,0.0,0,0
2025-11-16 20:29:51.076092,0.274,0.0,0,0.0,0,0
2025-11-16 20:29:51.131476,0.248,0.023,0,0.0,0,0
2025-11-16 20:29:51.164188,0.265,0.0,0,0.0,0,0
2025-11-16 20:29:51.196963,0.256,0.0,0,0.0,0,0
2025-11-16 20:29:51.227526,0.269,0.0,0,0.0,0,0
2025-11-16 20:29:51.254236,0.283,0.0,0,0.0,0,0
2025-11-16 20:29:51.282232,0.285,0.0,0,0.0,0,0
2025-11-16 20:29:51.314238,0.289,0.0,0,0.0,0,0
2025-11-16 20:29:51.347698,0.277,0.0,0,0.0,0,0
2025-11-16 20:29:51.391872,0.287,0.0,0,0.0,0,0
2025-11-16 20:29:51.414924,0.276,0.023,0,0.0,0,0
2025-11-16 20:29:51.426857,0.274,0.0,0,0.0,0,0
2025-11-16 20:29:51.466671,0.29,0.0,0,0.0,0,0
2025-11-16 20:29:51.500882,0.266,0.024,0,0.0,0,0
2025-11-16 20:29:51.564892,0.29,0.023,0,0.0,0,0
2025-11-16 20:29:51.596976,0.284,0.0,0,0.0,0,0
2025-11-16 20:29:51.628157,0.28,0.0,0,0.0,0,0
2025-11-16 20:29:51.657928,0.293,0.0,0,0.0,0,0
2025-11-16 20:29:51.690987,0.285,0.0,0,0.0,0,0
2025-11-16 20:29:51.722237,0.304,0.0,0,0.0,0,0
2025-11-16 20:29:51.757756,0.293,0.0,0,0.0,0,0
2025-11-16 20:29:51.769750,0.286,0.0,0,0.0,0,0
2025-11-16 20:29:51.783749,0.288,0.0,0,0.0,0,0
2025-11-16 20:29:51.835858,0.302,0.0,0,0.0,0,0
2025-11-16 20:29:51.867390,0.289,0.0,0,0.0,0,0
2025-11-16 20:29:51.899603,0.3,0.023,0,0.0,0,0
2025-11-16 20:29:51.964574,0.289,0.0,0,0.0,0,0
2025-11-16 20:29:51.995813,0.295,0.022,0,0.0,0,0
2025-11-16 20:29:52.029905,0.301,0.0,0,0.0,0,0
2025-11-16 20:29:52.057426,0.305,0.0,0,0.0,0,0
2025-11-16 20:29:52.088584,0.307,0.0,0,0.0,0,0
2025-11-16 20:29:52.123169,0.298,0.205,0,0.0,0,0
2025-11-16 20:29:52.137249,0.306,0.251,0,0.0,0,0
2025-11-16 20:29:52.152340,0.307,0.25,0,0.0,0,0
2025-11-16 20:29:52.205687,0.307,0.29,0,0.0,0,0
2025-11-16 20:29:52.239308,0.306,0.334,0,0.0,0,0
