timestamp,ear,mar,blink_per_min,microsleeps,yawns,fatigue,ml
2025-11-16T22:20:50.412293,0.295,0.0,0,0,0,18,ALERT
2025-11-16T22:20:50.472309,0.2993,0.0,0,0,0,18,ALERT
2025-11-16T22:20:50.552816,0.2928,0.0164,0,0,0,18,ALERT
2025-11-16T22:20:50.671952,0.2912,0.0109,0,0,0,18,ALERT
2025-11-16T22:20:50.773336,0.2921,0.0094,0,0,0,18,ALERT
2025-11-16T22:20:50.836854,0.2944,0.0082,0,0,0,18,ALERT
2025-11-16T22:20:50.898859,0.2974,0.0073,0,0,0,18,ALERT
2025-11-16T22:20:50.997918,0.2945,0.0066,0,0,0,18,ALERT
2025-11-16T22:20:51.059100,0.293,0.0098,0,0,0,18,ALERT
2025-11-16T22:20:51.141418,0.2912,0.0065,0,0,0,18,ALERT
2025-11-16T22:20:51.201914,0.2911,0.0033,0,0,0,18,ALERT
2025-11-16T22:20:51.267122,0.2944,0.0063,0,0,0,18,ALERT
2025-11-16T22:20:51.331613,0.2933,0.0096,0,0,0,18,ALERT
2025-11-16T22:20:51.394074,0.2937,0.0096,0,0,0,18,ALERT
2025-11-16T22:20:51.477176,0.2935,0.0096,0,0,0,18,ALERT
2025-11-16T22:20:51.539206,0.2912,0.0096,0,0,0,18,ALERT
2025-11-16T22:20:51.600370,0.2923,0.0096,0,0,0,18,ALERT
2025-11-16T22:20:51.665396,0.2974,0.0096,0,0,0,18,ALERT
2025-11-16T22:20:51.731455,0.2958,0.0093,0,0,0,18,ALERT
2025-11-16T22:20:51.795565,0.3014,0.0093,0,0,0,18,ALERT
2025-11-16T22:20:51.880460,0.302,0.0125,0,0,0,18,ALERT
2025-11-16T22:20:52.020492,0.3057,0.0061,0,0,0,18,ALERT
2025-11-16T22:20:52.139977,0.304,0.0094,0,0,0,18,ALERT
2025-11-16T22:20:52.279338,0.3082,0.0094,0,0,0,18,ALERT
2025-11-16T22:20:52.418027,0.3175,0.0064,0,0,0,18,ALERT
2025-11-16T22:20:52.543609,0.3227,0.0033,0,0,0,18,ALERT
2025-11-16T22:20:52.644977,0.3237,0.0033,0,0,0,38,DROWSY
2025-11-16T22:20:52.706074,0.3256,0.0033,0,0,0,18,ALERT
2025-11-16T22:20:52.808985,0.3282,0.0,0,0,0,18,ALERT
2025-11-16T22:20:52.945787,0.323,0.0034,0,0,0,18,ALERT
2025-11-16T22:20:53.011818,0.3173,0.0034,0,0,0,18,ALERT
2025-11-16T22:20:53.074807,0.3152,0.0034,0,0,0,18,ALERT
2025-11-16T22:20:53.137741,0.3127,0.0068,0,0,0,18,ALERT
2025-11-16T22:20:53.201830,0.3086,0.0068,0,0,0,18,ALERT
2025-11-16T22:20:53.268221,0.3062,0.0099,0,0,0,18,ALERT
2025-11-16T22:20:53.329570,0.3042,0.0099,0,0,0,18,ALERT
2025-11-16T22:20:53.426371,0.2968,0.0131,0,0,0,18,ALERT
2025-11-16T22:20:53.486798,0.2735,0.0131,0,0,0,18,ALERT
2025-11-16T22:20:53.620047,0.2393,0.0131,0,0,0,18,ALERT
2025-11-16T22:20:53.757615,0.1978,0.0131,0,0,0,23,ALERT
2025-11-16T22:20:53.822584,0.175,0.0097,0,0,0,26,ALERT
2025-11-16T22:20:53.955108,0.137,0.0098,0,0,0,51,DROWSY
2025-11-16T22:20:54.085246,0.1032,0.0099,0,0,0,56,DROWSY
2025-11-16T22:20:54.145963,0.1051,0.0099,0,0,0,56,DROWSY
2025-11-16T22:20:54.208296,0.1015,0.0099,0,0,0,56,DROWSY
2025-11-16T22:20:54.273252,0.0995,0.0099,0,0,0,57,DROWSY
2025-11-16T22:20:54.337912,0.1013,0.0132,0,0,0,57,DROWSY
2025-11-16T22:20:54.402501,0.1046,0.0132,0,0,0,37,ALERT
2025-11-16T22:20:54.497359,0.1067,0.0166,0,0,0,37,ALERT
2025-11-16T22:20:54.628755,0.1177,0.0134,0,0,0,36,ALERT
2025-11-16T22:20:54.756224,0.1538,0.0134,0,0,0,32,ALERT
2025-11-16T22:20:54.816905,0.1763,0.0134,0,0,0,29,ALERT
2025-11-16T22:20:54.881682,0.1984,0.0134,0,0,0,27,ALERT
2025-11-16T22:20:54.946711,0.2172,0.01,0,0,0,21,ALERT
2025-11-16T22:20:55.012997,0.2363,0.0099,0,0,0,39,DROWSY
2025-11-16T22:20:55.075230,0.2525,0.0099,1,0,0,17,ALERT
2025-11-16T22:20:55.137510,0.2728,0.0065,1,0,0,17,ALERT
2025-11-16T22:20:55.200483,0.2931,0.0065,1,0,0,17,ALERT
2025-11-16T22:20:55.282672,0.2996,0.0065,1,0,0,17,ALERT
2025-11-16T22:20:55.346022,0.3008,0.0032,1,0,0,37,DROWSY
2025-11-16T22:20:55.410433,0.3006,0.0032,1,0,0,17,ALERT
