timestamp,frame_idx,ear,mar,label
2025-11-16T19:32:01.777179,0,0.3042,0.0,alert
2025-11-16T19:32:01.869528,1,0.2364,0.0238,alert
2025-11-16T19:32:01.886852,2,0.2474,0.0232,alert
2025-11-16T19:32:01.912568,3,0.274,0.0,alert
2025-11-16T19:32:01.968634,4,0.261,0.0222,alert
2025-11-16T19:32:02.000195,5,0.2557,0.0443,alert
2025-11-16T19:32:02.029563,6,0.2728,0.0444,alert
2025-11-16T19:32:02.068115,7,0.2549,0.0666,alert
2025-11-16T19:32:02.096210,8,0.2855,0.0217,alert
2025-11-16T19:32:02.128475,9,0.2677,0.0232,alert
2025-11-16T19:32:02.155612,10,0.2915,0.0217,alert
2025-11-16T19:32:02.192597,11,0.2978,0.0444,alert
2025-11-16T19:32:02.223512,12,0.2862,0.0455,alert
2025-11-16T19:32:02.258028,13,0.3093,0.0455,alert
2025-11-16T19:32:02.276032,14,0.3093,0.0465,alert
2025-11-16T19:32:02.327607,15,0.3154,0.1162,alert
2025-11-16T19:32:02.360606,16,0.3166,0.0667,alert
2025-11-16T19:32:02.394911,17,0.3111,0.0465,alert
2025-11-16T19:32:02.424911,18,0.3364,0.0465,alert
2025-11-16T19:32:02.456909,19,0.3132,0.0244,alert
2025-11-16T19:32:02.488690,20,0.2904,0.0,alert
2025-11-16T19:32:02.523690,21,0.2293,0.0,alert
2025-11-16T19:32:02.552688,22,0.1485,0.0,alert
2025-11-16T19:32:02.587826,23,0.1399,0.0,alert
2025-11-16T19:32:02.619544,24,0.1093,0.027,alert
2025-11-16T19:32:02.635543,25,0.0975,0.0,alert
2025-11-16T19:32:02.666876,26,0.1031,0.0499,alert
2025-11-16T19:32:02.737256,27,0.0907,0.0511,alert
2025-11-16T19:32:02.768665,28,0.0985,0.0749,alert
2025-11-16T19:32:02.799871,29,0.0973,0.0749,alert
2025-11-16T19:32:02.832958,30,0.109,0.0749,alert
2025-11-16T19:32:02.867532,31,0.0973,0.0748,alert
2025-11-16T19:32:02.898147,32,0.0936,0.0997,alert
2025-11-16T19:32:02.928443,33,0.1015,0.0997,alert
2025-11-16T19:32:02.961431,34,0.0871,0.0997,alert
2025-11-16T19:32:02.975888,35,0.0871,0.0997,alert
2025-11-16T19:32:02.988032,36,0.0967,0.0767,alert
2025-11-16T19:32:03.040538,37,0.0861,0.1023,alert
2025-11-16T19:32:03.076591,38,0.0871,0.0767,alert
2025-11-16T19:32:03.103554,39,0.105,0.0512,alert
2025-11-16T19:32:03.172585,40,0.2759,0.0768,alert
2025-11-16T19:32:03.202212,41,0.3041,0.0,alert
2025-11-16T19:32:03.234459,42,0.2867,0.0,alert
2025-11-16T19:32:03.258884,43,0.2895,0.0256,alert
2025-11-16T19:32:03.298285,44,0.2976,0.025,alert
2025-11-16T19:32:03.328231,45,0.3072,0.0263,alert
2025-11-16T19:32:03.342329,46,0.3029,0.0256,alert
2025-11-16T19:32:03.360240,47,0.3164,0.0,alert
2025-11-16T19:32:03.407948,48,0.324,0.0,alert
2025-11-16T19:32:03.440957,49,0.3199,0.0263,alert
2025-11-16T19:32:03.472187,50,0.3213,0.025,alert
2025-11-16T19:32:03.505811,51,0.3228,0.0,alert
