timestamp,ear,mar,label
2025-12-19 00:57:04.509112,0.2032,0.0252,alert
2025-12-19 00:57:04.641361,0.2026,0.0185,alert
2025-12-19 00:57:04.679211,0.1885,0.0,alert
2025-12-19 00:57:04.701034,0.1842,0.0,alert
2025-12-19 00:57:04.743778,0.1836,0.0,alert
2025-12-19 00:57:04.766187,0.1815,0.0178,alert
2025-12-19 00:57:04.811304,0.1784,0.0182,alert
2025-12-19 00:57:04.829122,0.1778,0.0185,alert
2025-12-19 00:57:04.895486,0.1911,0.0178,alert
2025-12-19 00:57:04.913151,0.1995,0.0,alert
2025-12-19 00:57:04.952808,0.2386,0.0178,alert
2025-12-19 00:57:04.965018,0.2386,0.0178,alert
2025-12-19 00:57:05.019111,0.2371,0.0182,alert
2025-12-19 00:57:05.032202,0.2338,0.0257,alert
2025-12-19 00:57:05.085492,0.2211,0.0,alert
2025-12-19 00:57:05.095817,0.2211,0.0,alert
2025-12-19 00:57:05.149739,0.2352,0.0178,alert
2025-12-19 00:57:05.170495,0.2352,0.0178,alert
2025-12-19 00:57:05.211044,0.2359,0.0,alert
2025-12-19 00:57:05.220664,0.2355,0.0,alert
2025-12-19 00:57:05.291155,0.2479,0.0,alert
2025-12-19 00:57:05.311346,0.251,0.0185,alert
2025-12-19 00:57:05.354453,0.2526,0.0,alert
2025-12-19 00:57:05.380441,0.2427,0.0192,alert
2025-12-19 00:57:05.419266,0.2482,0.0,alert
2025-12-19 00:57:05.425799,0.248,0.0,alert
2025-12-19 00:57:05.485147,0.2728,0.0185,alert
2025-12-19 00:57:05.508990,0.2714,0.0185,alert
2025-12-19 00:57:05.545159,0.2744,0.0189,alert
2025-12-19 00:57:05.579175,0.2631,0.0189,alert
2025-12-19 00:57:05.620592,0.2507,0.0,alert
2025-12-19 00:57:05.641167,0.2516,0.0,alert
2025-12-19 00:57:05.691166,0.2728,0.0,alert
2025-12-19 00:57:05.711056,0.2639,0.0,alert
2025-12-19 00:57:05.755326,0.2668,0.0,alert
2025-12-19 00:57:05.783994,0.2744,0.0,alert
2025-12-19 00:57:05.818927,0.254,0.0,alert
2025-12-19 00:57:05.837513,0.2609,0.0,alert
2025-12-19 00:57:05.882974,0.2588,0.0192,alert
2025-12-19 00:57:05.890563,0.2548,0.0,alert
2025-12-19 00:57:05.941914,0.2512,0.0,alert
2025-12-19 00:57:05.966995,0.2614,0.0272,alert
2025-12-19 00:57:06.020814,0.2702,0.0,alert
2025-12-19 00:57:06.041584,0.2695,0.0196,alert
2025-12-19 00:57:06.088885,0.2669,0.0192,alert
2025-12-19 00:57:06.104446,0.2604,0.0277,alert
2025-12-19 00:57:06.152355,0.2537,0.0188,alert
2025-12-19 00:57:06.171254,0.243,0.0192,alert
2025-12-19 00:57:06.221120,0.2561,0.0192,alert
2025-12-19 00:57:06.230851,0.2493,0.0196,alert
2025-12-19 00:57:06.281411,0.2456,0.0,alert
2025-12-19 00:57:06.303300,0.2454,0.0,alert
2025-12-19 00:57:06.340747,0.1359,0.0192,alert
2025-12-19 00:57:06.361170,0.1428,0.0188,alert
2025-12-19 00:57:06.433111,0.1769,0.0188,alert
2025-12-19 00:57:06.443027,0.1769,0.0192,alert
2025-12-19 00:57:06.490900,0.2151,0.0188,alert
2025-12-19 00:57:06.509200,0.2179,0.0188,alert
2025-12-19 00:57:06.545795,0.2275,0.0,alert
2025-12-19 00:57:06.569220,0.2275,0.0,alert
2025-12-19 00:57:06.610420,0.2447,0.0,alert
2025-12-19 00:57:06.630815,0.2377,0.0,alert
2025-12-19 00:57:06.685826,0.2483,0.0,alert
2025-12-19 00:57:06.701301,0.24,0.0,alert
2025-12-19 00:57:06.761411,0.2519,0.0,alert
2025-12-19 00:57:06.782567,0.2508,0.0192,alert
2025-12-19 00:57:06.828920,0.2579,0.0,alert
2025-12-19 00:57:06.839073,0.2397,0.0,alert
2025-12-19 00:57:06.896911,0.2532,0.0192,alert
